City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Kismayo,SO,-0.3582,42.5454,77.61,81,73,14.83,broken clouds
186,Comarapa,BO,-17.9,-64.4833,65.28,69,99,3.15,overcast clouds
187,Bethel,US,41.3712,-73.414,32.2,77,100,8.05,snow
188,Blagoveshchenka,RU,52.8333,79.8667,25.48,94,99,18.37,light snow
189,New Norfolk,AU,-42.7826,147.0587,62.1,62,93,1.43,overcast clouds
190,Ous,RU,60.9058,61.5186,3.06,98,100,3.51,overcast clouds
191,Barcelos,PT,41.5388,-8.6151,53.74,90,75,13.02,broken clouds
192,San Cristobal,VE,7.7669,-72.225,80.78,37,81,6.31,broken clouds
193,Gat,IL,31.61,34.7642,57.4,100,0,1.9,clear sky
194,Vaitape,PF,-16.5167,-151.75,81.1,74,100,14.79,overcast clouds
195,Kenora,CA,49.8167,-94.4337,-8.23,64,75,11.5,broken clouds
196,Zilair,RU,52.2332,57.4392,15.58,97,98,7.34,overcast clouds
197,Pacific Grove,US,36.6177,-121.9166,74.3,59,0,3.0,clear sky
198,Hofn,IS,64.2539,-15.2082,21.94,57,7,9.78,clear sky
199,Auki,SB,-8.7676,160.7034,77.25,86,89,4.32,overcast clouds
200,Iquique,CL,-20.2208,-70.1431,74.28,66,32,8.95,scattered clouds
201,Port Hedland,AU,-20.3167,118.5667,82.45,83,40,5.75,scattered clouds
202,Senanga,ZM,-16.1167,23.2667,73.72,68,100,2.48,overcast clouds
203,Saint George,US,37.1041,-113.5841,66.54,23,0,0.0,clear sky
204,Byron Bay,AU,-28.65,153.6167,68.88,87,74,5.3,broken clouds
205,Petukhovo,RU,55.0692,67.9019,-1.28,100,59,5.35,broken clouds
206,Gravdal,NO,68.1214,13.5031,31.89,69,75,25.32,broken clouds
207,Hami,CN,42.8,93.45,27.97,49,99,6.76,overcast clouds
208,Portobelo,PA,9.55,-79.65,92.86,74,43,12.06,scattered clouds
209,Ulladulla,AU,-35.35,150.4667,61.88,81,100,7.56,overcast clouds
210,Vilsbiburg,DE,48.45,12.35,38.91,77,4,5.95,clear sky
211,Mandalgovi,MN,45.7625,106.2708,-5.08,78,68,7.94,broken clouds
212,Micheweni,TZ,-4.9667,39.8333,79.75,77,99,10.42,overcast clouds
213,Jalu,LY,29.0331,21.5482,58.91,43,80,6.51,broken clouds
214,Monte Alegre,BR,-2.0078,-54.0692,87.33,55,89,5.95,overcast clouds
215,Severo-Yeniseyskiy,RU,60.3725,93.0408,-13.85,96,64,5.1,broken clouds
216,Matagami,CA,49.7502,-77.6328,-3.89,50,0,5.75,clear sky
217,Kavaratti,IN,10.5669,72.642,80.94,71,4,5.79,clear sky
218,Artyom,AZ,40.4723,50.333,41.14,63,27,25.46,scattered clouds
219,Magadan,RU,59.5667,150.8,-7.26,70,20,8.16,few clouds
220,Saldanha,ZA,-33.0117,17.9442,71.65,88,15,23.98,few clouds
221,Concarneau,FR,47.875,-3.9225,54.82,89,100,18.72,light rain
222,Makakilo City,US,21.3469,-158.0858,74.28,80,0,5.75,clear sky
223,Tobermory,CA,45.2501,-81.6665,3.31,82,100,11.25,overcast clouds
224,Gallup,US,35.5281,-108.7426,48.96,20,0,4.61,clear sky
225,Buritis,BR,-15.6178,-46.4233,78.73,73,74,5.26,light rain
226,Tocopilla,CL,-22.092,-70.1979,74.57,65,94,8.68,overcast clouds
227,Beohari,IN,24.05,81.3833,56.43,35,0,5.21,clear sky
228,Murdochville,CA,48.9583,-65.5006,-1.32,62,5,5.3,clear sky
229,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,82,46,11.92,scattered clouds
230,Suihua,CN,46.6406,126.9969,-19.1,100,75,5.19,broken clouds
231,Plettenberg Bay,ZA,-34.0527,23.3716,68.14,84,36,3.58,scattered clouds
232,Souillac,MU,-20.5167,57.5167,81.36,83,40,10.36,scattered clouds
233,Kousseri,CM,12.0769,15.0306,85.96,10,28,8.05,scattered clouds
234,Lugo,ES,43.0,-7.5,47.35,97,99,1.01,overcast clouds
235,Sokur,RU,55.2093,83.319,19.76,95,100,12.57,light snow
236,Barrow,US,71.2906,-156.7887,-29.18,100,0,8.05,clear sky
237,Dryden,CA,49.7833,-92.7503,-5.51,54,0,8.05,clear sky
238,Ambanja,MG,-13.6833,48.45,74.44,93,37,1.59,moderate rain
239,Samarai,PG,-10.6167,150.6667,80.08,76,36,5.88,scattered clouds
240,Sobolevo,RU,54.4299,31.8996,24.94,85,84,13.33,broken clouds
241,Carnarvon,AU,-24.8667,113.6333,78.87,83,16,8.05,few clouds
